"","Start_time","Stop_time","Query","Query_complexity","Role","Sub_themes","Code","Query_counter","Transcript","Actor_pair"
"232","00:12:09.040","00:12:11.380","Where does cinnamon come from?","remember","Seeker","Navigation","A:Is there more information",9,"Is that all that it says?","3"
"233","00:12:12.242","00:12:14.999","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document with modification",10,"It doesn't say anything about the exact date","3"
"234","00:12:15.660","00:12:20.140","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",11,"So maybe it said when did it say uhm so two thousand BC or something?","3"
"235","00:12:20.148","00:12:22.027","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Confirms",12,"Yes two thousand BC","3"
"236","00:12:22.040","00:12:30.720","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",13,"So maybe look that up with cinnamon because if it's been used for that long it was probably found around that time so see if we could find anything","3"
"237","00:13:01.430","00:13:06.090","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document without modification",14,"So they initially used it as perfume in Egypt","3"
"238","00:13:07.960","00:13:09.837","Where does cinnamon come from?","remember","Seeker","Navigation","A:Is there more information",15,"OK, is that all that it says?","3"
"239","00:13:09.871","00:13:11.736","Where does cinnamon come from?","remember","Intermediary","Visibility Of System Status","B:Feedback on what is happening",16,"Nah, I'll just check that","3"
"240","00:13:12.240","00:13:12.680","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Confirms",17,"Yeah","3"
"241","00:13:33.440","00:13:38.480","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:SERP without modification",18,"So I have an article that says the truth about where cinnamon comes from","3"
"242","00:13:40.940","00:13:42.340","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",19,"Where what comes from, sorry","3"
"243","00:13:42.400","00:13:42.820","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Confirms",20,"Yeah","3"
"244","00:13:48.700","00:13:49.700","Where does cinnamon come from?","remember","Seeker","Visibility Of System Status","A:Access source feedback-request",21,"Have you clicked on it?","3"
"245","00:13:49.960","00:14:03.720","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Within-Document search result",22,"Yeah yeah [long pause] But it doesn't give any information about the history","3"
"246","00:14:03.840","00:14:06.440","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",23,"So did you say it was used in Egypt before?","3"
"247","00:14:06.660","00:14:07.060","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Confirms",24,"Yeah","3"
"248","00:14:07.600","00:14:20.200","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",25,"Can you type in cinnamon and Egypt... do capital and see to make sure we get uhm Egypt and potentially it might have originated there","3"
"249","00:15:04.280","00:15:14.800","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document without modification",26,"There is one more article which says two thousand and eight hundred BC where it can be found referenced as kwai in Chinese writings","3"
"250","00:15:17.360","00:15:22.880","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",27,"So that was found in China, is that what you're saying or","3"
"251","00:15:23.180","00:15:31.980","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Repeats",28,"It was referenced by the Chinese as kwai in Chinese writings","3"
"252","00:15:33.120","00:15:36.240","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",29,"OK so maybe type in China and cinnamon then and see what comes up","3"
"253","00:16:17.900","00:16:20.360","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document with modification",30,"Yeah it mainly says Egyptians so","3"
"254","00:16:20.600","00:16:21.440","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",31,"Egyptians?","3"
"255","00:16:21.640","00:16:28.560","Where does cinnamon come from?","remember","Intermediary","Discourse Management + Results Presentation","B:Repeats + Multi-document summary",32,"Egyptians, yeah I have two or three documents it says Egyptians two thousand BC","3"
"256","00:16:28.940","00:16:32.620","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request within document",33,"That's when it was first used or first found?","3"
"257","00:16:33.120","00:16:34.720","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Within-Document search result",34,"Used","3"
"258","00:16:37.140","00:16:43.580","Where does cinnamon come from?","remember","Seeker","Search Assistance","A:Requests ""enough information"" judgement",35,"Uhm do you think that's enough to get an idea of where it actually came from or do you think we should keep going?","3"
"259","00:16:44.260","00:16:45.760","Where does cinnamon come from?","remember","Intermediary","Search Assistance","B:Suggestion to search more",36,"I think we should keep going","3"
"260","00:16:45.810","00:16:46.729","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Confirms",37,"Yeah OK","3"
"261","00:16:53.200","00:17:02.480","Where does cinnamon come from?","remember","Intermediary","Information Request","B:Query refinement offer",38,"What sort of documents is it, when was it first used and not when it was first found? The actual place where it was first found","3"
"262","00:17:03.000","00:17:09.932","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",39,"Maybe type in again origin so origins and cinnamon and then and uhm Egypt","3"
"263","00:17:18.763","00:17:22.101","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Repeats the query back",40,"So I have typed in cinnamon origin and Egypt","3"
"264","00:17:22.528","00:17:24.501","Where does cinnamon come from?","remember","Seeker","Visibility Of System Status","A:Results?",41,"Have you found anything","3"
"265","00:17:26.312","00:17:28.514","Where does cinnamon come from?","remember","Intermediary","Visibility Of System Status","B:Feedback on what is happening",42,"No, I still keep on getting the same","3"
"266","00:17:29.528","00:17:30.001","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",43,"Same thing","3"
"267","00:17:30.244","00:17:31.068","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Confirms",44,"Yeah same thing","3"
"268","00:17:32.280","00:17:34.680","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request within SERP",45,"Is the word origin anywhere or no?","3"
"269","00:17:34.960","00:17:35.880","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Within SERP search result",46,"No","3"
"270","00:17:46.320","00:17:54.080","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",47,"Maybe type in cinnamon discovered then and and discover or discovered do the asterix at the word discover","3"
"271","00:18:26.140","00:18:31.020","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:SERP without modification",48,"So I found one document which says where does cinnamon come from","3"
"272","00:18:31.120","00:18:35.220","Where does cinnamon come from?","remember","Seeker","Navigation","A:Access source",49,"OK, definitely click on that, that could be useful","3"
"273","00:18:36.740","00:18:42.440","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document without modification",50,"Yeah it's [inaudible segment] cinnamon which is native to Sri Lanka it says","3"
"274","00:18:43.360","00:18:44.620","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",51,"Native to?","3"
"275","00:18:44.760","00:18:53.320","Where does cinnamon come from?","remember","Intermediary","Discourse Management + Results Presentation","B:Repeats + Scanning document without modification",52,"Sri Lanka from the bark of the cinnamon tree... that's not the biological name for the cinnamon","3"
"276","00:18:53.690","00:18:58.850","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",53,"OK maybe just to confirm that type in cinnamon Sri Lanka and see what comes up","3"
"277","00:19:00.240","00:19:26.920","Where does cinnamon come from?","remember","Intermediary","Results Presentation + Results Presentation","B:Scanning document without modification + Interpretation",54,"The history of valuable cinnamon. The first mention of cinnamon is in Chinese documents dating from two thousand eight hundred BC. The ancient Egyptians logged cinnamon as a spice used in the embalming process... so it was first Chinese and then the Egyptians used it for some purpose","3"
"278","00:19:29.020","00:19:31.680","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request within document",55,"That doesn't especially mean that it came from there does it","3"
"279","00:19:31.840","00:19:32.320","Where does cinnamon come from?","remember","Intermediary","Discourse Management","B:Confirms",56,"Yeah","3"
"280","00:19:32.400","00:19:32.680","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Confirms",57,"Yeah","3"
"281","00:19:35.460","00:19:43.980","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Scanning document with modification",58,"It mainly says about the history how cinnamon was used... but it... I don't see anything where it originated","3"
"282","00:19:44.660","00:19:58.460","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",59,"Maybe maybe just type in cinnamon uhm... into the search bar and just look at something really general because usually general things might","3"
"283","00:19:59.000","00:20:02.060","Where does cinnamon come from?","remember","Intermediary","Information Request","B:Google query expansion suggestion",60,"I have cinnamon origin","3"
"284","00:20:04.140","00:20:05.440","Where does cinnamon come from?","remember","Seeker","Discourse Management","A:Asks to repeat",61,"What do you have sorry?","3"
"285","00:20:11.380","00:20:12.740","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:SERP Card",62,"So I have how the origin is Greek and then old French","3"
"286","00:20:18.520","00:21:00.720","per capita alcohol consumption","analyze","Seeker","Information Request","A:Initial information request",1,"OK so... uhm in general I sort of want to try and find out the average consumption of alcohol uhm by by the country state for local level, so maybe just start of with type in uhm alcohol consumption by country... tell me if anything relates to statistics uhm about alcohol consumption uhm between countries","3"
"287","00:21:03.040","00:21:08.840","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:SERP without modification",2,"So I have one document about global consumption of alcohol by the World Bank","3"
"288","00:21:10.820","00:21:13.420","per capita alcohol consumption","analyze","Seeker","Navigation","A:Access source",3,"Yeah do you want to click into it and see what it says","3"
"289","00:21:13.460","00:21:24.560","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:SERP without modification",4,"One sec [long pause] so I have list of countries by alcohol consumption per capita","3"
"290","00:21:24.880","00:21:26.540","per capita alcohol consumption","analyze","Seeker","Search Progression","A:Performance feedback",5,"Yeah yeah that's perfect","3"
"291","00:21:26.960","00:21:45.280","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",6,"This is by Wikipedia [long pause] so this is uhm by twenty ten World Health Organisation... the data uhm the first one is Belarus the first country","3"
"292","00:21:45.560","00:21:47.480","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",7,"How much do they consume?","3"
"293","00:21:50.560","00:21:54.720","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",8,"It's fourteen point four litres per capita","3"
"294","00:21:54.740","00:21:55.700","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Confirms",9,"OK","3"
"295","00:22:03.620","00:22:06.300","per capita alcohol consumption","analyze","Intermediary","Information Request","B:Requests more details about information request",10,"Are you looking for something specific or","3"
"296","00:22:10.680","00:22:16.920","per capita alcohol consumption","analyze","Seeker","Information Request","A:Intent clarification",11,"Just sort of the yeah the alcohol consumption per countries per capita","3"
"297","00:22:17.260","00:22:17.620","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",12,"OK","3"
"298","00:22:17.740","00:22:19.160","per capita alcohol consumption","analyze","Seeker","Information Request","A:Info about document",13,"What website did you say we were on?","3"
"299","00:22:20.320","00:22:22.100","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Source information",14,"Uhm... this is by Wikipedia","3"
"300","00:22:22.200","00:22:23.080","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Asks to repeat",15,"Wikipedia?","3"
"301","00:22:23.160","00:22:23.360","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",16,"Yeah","3"
"302","00:22:23.880","00:22:29.920","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Asks to repeat",17,"OK uhm... can you maybe go on to, did you say that the statistics were from the World Health Organisation or something?","3"
"303","00:22:30.081","00:22:30.675","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",18,"Yeah","3"
"304","00:22:30.858","00:22:37.548","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",19,"Is there a link somewhere to just verify because sometimes Wikipedia isn't always that reliable","3"
"305","00:22:37.602","00:22:39.318","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",20,"OK let me check","3"
"306","00:22:41.200","00:22:42.780","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",21,"Like is there a footnote or anything","3"
"307","00:23:20.840","00:23:29.760","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",22,"So I have one more website the world atlas, it says who drinks the most alcohol consumption by country","3"
"308","00:23:30.980","00:23:32.080","per capita alcohol consumption","analyze","Seeker","Visibility Of System Status","A:Access source feedback-request",23,"Have you clicked on it?","3"
"309","00:23:32.200","00:23:35.380","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",24,"Yeah... and it says Estonia","3"
"310","00:23:36.160","00:23:38.520","per capita alcohol consumption","analyze","Seeker","Grounding","A:Interpretation",25,"So it is different to Wikipedia","3"
"311","00:23:38.580","00:23:49.420","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",26,"And that's the popular drink and [long pause] yeah it says Estonia's fourteen point nine seven","3"
"312","00:23:49.440","00:23:50.560","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",27,"Is this per capita?","3"
"313","00:23:50.620","00:23:52.160","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",28,"Yeah per capita","3"
"314","00:23:52.320","00:23:56.880","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",29,"When where these uhm statistics found or when were they released what date?","3"
"315","00:24:07.280","00:24:10.920","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",30,"So this was published January twenty-fifth twenty sixteen","3"
"316","00:24:11.120","00:24:16.600","per capita alcohol consumption","analyze","Seeker","Search Progression + Navigation","A:Performance feedback + Within-document command",31,"Yeah so that is good then go go through that... so you got Estonia then","3"
"317","00:24:17.080","00:24:19.760","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",32,"Yeah and then the second one is Belarus","3"
"318","00:24:20.960","00:24:23.320","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",33,"Is Australia anywhere on the list?","3"
"319","00:24:24.680","00:24:26.554","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",34,"Uhm we are in the top ten","3"
"320","00:24:27.248","00:24:28.572","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",35,"So is there only top ten?","3"
"321","00:24:29.112","00:24:31.031","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",36,"No Australia is twenty-second","3"
"322","00:24:31.450","00:24:32.207","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Asks to repeat",37,"Twenty-second","3"
"323","00:24:32.300","00:24:32.620","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",38,"Yeah","3"
"324","00:24:32.680","00:24:34.160","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",39,"What's that per capita?","3"
"325","00:24:34.460","00:24:35.740","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",40,"Nine point eight seven","3"
"326","00:24:37.020","00:24:39.520","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",41,"How is that compared to the United States?","3"
"327","00:24:45.940","00:24:50.730","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",42,"No uhm it it's top twenty-five and and there's no US in the top rank","3"
"328","00:24:55.620","00:25:04.260","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request within document",43,"Is there any other sort of Western countries on the top twenty-five similar to Australia for example Britain or New Zealand or something?","3"
"329","00:25:04.500","00:25:15.640","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Within-Document search result",44,"We have Ireland, France... Ireland ranks seventh, France is eighth and Germany twelfth","3"
"330","00:25:18.340","00:25:28.380","per capita alcohol consumption","analyze","Seeker","Information Request","A:Information request",45,"Yes so maybe maybe keep that up that yeah it's good you found that uhm and then type in alcohol per capita Australian states","3"
"331","00:25:36.730","00:25:38.720","per capita alcohol consumption","analyze","Intermediary","Information Request","B:Query refinement offer",46,"So this is it statewide, by state?","3"
"332","00:25:39.440","00:25:42.400","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Asks to repeat",47,"Pardon by state or state wide you mean","3"
"333","00:25:43.530","00:25:44.250","per capita alcohol consumption","analyze","Intermediary","Information Request","B:Query refinement offer",48,"Australia","3"
"334","00:25:56.560","00:26:05.780","per capita alcohol consumption","analyze","Seeker","Information Request","A:Intent clarification",49,"So pretty much what we're looking for is to compare alcohol consumption in the states in the Australian states... so Victoria compared to New South Wales","3"
"335","00:26:05.820","00:26:07.740","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",50,"so the Australian Bureau of Statistics","3"
"336","00:26:08.580","00:26:15.980","per capita alcohol consumption","analyze","Seeker","Search Progression + Information Request","A:Performance feedback + Information request within document",51,"Yeah that could be... that could be good, what's the article or what's the statistics about?","3"
"337","00:26:16.090","00:26:25.640","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document without modification",52,"So in summary uhm... we have one eighty-three point seven million of pure alcohol in twenty thirteen to fourteen","3"
"338","00:26:33.730","00:26:34.960","per capita alcohol consumption","analyze","Seeker","Navigation","A:Is there more information",53,"Is that all what it says or","3"
"339","00:26:35.190","00:26:40.910","per capita alcohol consumption","analyze","Intermediary","Results Presentation + Results Presentation","B:Scanning document with modification + Interpretation",54,"Uhm it says based on the drinks and the year but it doesn't say anything about the state","3"
"340","00:26:42.110","00:26:51.940","per capita alcohol consumption","analyze","Seeker","Navigation + Discourse Management","A:Leave document + Asks to repeat",55,"Maybe you can get out of it then [long pause] so what's the search term that you typed in?","3"
"341","00:26:53.600","00:26:57.270","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Repeats the query back",56,"It's alcohol per capita by state Australia","3"
"342","00:26:58.010","00:27:02.970","per capita alcohol consumption","analyze","Seeker","Navigation","A:Is there more information",57,"OK uhm is there any other useful things to view?","3"
"343","00:27:08.150","00:27:11.800","per capita alcohol consumption","analyze","Intermediary","Visibility Of System Status","B:Feedback on what is happening",58,"Let me change the... search to","3"
"344","00:27:15.660","00:27:16.660","per capita alcohol consumption","analyze","Seeker","Discourse Management","A:Asks to repeat",59,"What are you changing it to?","3"
"345","00:27:17.790","00:27:19.730","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Repeats the query back",60,"I am changing it to Australian states","3"
"346","00:27:21.797","00:29:00.800","per capita alcohol consumption","analyze","Seeker","Information Request + Visibility Of System Status","A:Query embellishment + Results?",61,"Maybe you can get rid of per capita because that could be problematic... alcohol consumption by Australian citizens [long pause] have you found anything yet?","3"
"347","00:29:00.994","00:29:01.291","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Confirms",62,"Yeah","3"
"348","00:29:05.014","00:29:06.311","per capita alcohol consumption","analyze","Seeker","Visibility Of System Status","A:Results?",63,"What what exactly?","3"
"349","00:29:16.556","00:29:19.272","per capita alcohol consumption","analyze","Intermediary","Visibility Of System Status","B:Feedback on what is happening",64,"I haven't found anything based on the state","3"
"350","00:29:23.267","00:29:26.753","per capita alcohol consumption","analyze","Seeker","Visibility Of System Status","A:Results?",65,"Have you found anything else that could be useful?","3"
"351","00:29:31.915","00:29:37.280","per capita alcohol consumption","analyze","Intermediary","Results Presentation","B:Scanning document with modification",66,"I found the generalise statistics but not based on the states of Australia","3"
"352","00:29:39.031","00:30:10.680","per capita alcohol consumption","analyze","Seeker","Navigation","A:Access source",67,"Maybe have a look at them anyway just to get a better idea of Australia [long pause] if you're not having any luck then type in something like uhm","3"
"353","00:30:11.100","00:30:20.397","per capita alcohol consumption","analyze","Intermediary","Discourse Management","B:Repeats the query back",68,"I am trying statistics of alcohol consumption... in Australia","3"
"354","00:30:29.500","00:30:31.600","per capita alcohol consumption","analyze","Seeker","Information Request","A:Query embellishment",69,"Yeah you can even type or just Victoria because if it talks about Victoria it might talk about other states as well","3"
"355","00:00:22.560","00:00:24.554","Turkey Iraq Water","analyze","Seeker","Information Request","A:Initial information request",1,"Turkish river control","4"
"356","00:00:30.676","00:00:31.663","Turkey Iraq Water","analyze","Intermediary","Discourse Management","B:Confirms",2,"Yeah","4"
"357","00:00:33.512","00:00:34.647","Turkey Iraq Water","analyze","Seeker","Visibility Of System Status","A:Results?",3,"What results came up?","4"
"358","00:00:35.201","00:00:36.525","Turkey Iraq Water","analyze","Intermediary","Discourse Management","B:Asks to repeat",4,"What you said Turkish","4"
"359","00:00:36.539","00:00:37.187","Turkey Iraq Water","analyze","Seeker","Discourse Management","A:Query repeat",5,"Turkish river control","4"
"360","00:00:37.702","00:00:50.440","Turkey Iraq Water","analyze","Intermediary","Results Presentation","B:SERP with modification",6,"Yeah OK so it starts to talk about like is it just a whole news articles and it looks about water wars and uhm in Syria and Iraq and yeah","4"
"361","00:00:50.760","00:00:56.320","Turkey Iraq Water","analyze","Seeker","Navigation","A:Access source",7,"Uhm OK uhm can you click on the article regarding Iraq","4"
"362","00:00:57.783","00:01:03.621","Turkey Iraq Water","analyze","Intermediary","Discourse Management","B:Checks navigational command",8,"Uhm there's a few, there's one, do you want me to click on the one from foreign affairs","4"
"363","00:01:03.972","00:01:13.675","Turkey Iraq Water","analyze","Seeker","Discourse Management + Information Request","A:Confirms + Information Request within SERP",9,"Yeah [long pause] yeah are there any that regard the Iraqi water resources?","4"
"364","00:01:15.716","00:01:18.000","Turkey Iraq Water","analyze","Intermediary","Results Presentation","B:SERP without modification",10,"Uhm there's one on water shortages","4"
"365","00:01:18.145","00:01:18.537","Turkey Iraq Water","analyze","Seeker","Discourse Management","A:Confirms",11,"OK","4"
"366","00:01:18.581","00:01:20.340","Turkey Iraq Water","analyze","Intermediary","Discourse Management","B:Checks navigational command",12,"Yeah so may go into that instead","4"
"367","00:01:20.445","00:01:39.470","Turkey Iraq Water","analyze","Seeker","Discourse Management + Information Request","A:Confirms + Information request within document",13,"Yeah [long pause] so does it talk about how uhm... some Turkish river control produc uhm projects affected uhm Iraq","4"
"368","00:01:39.660","00:01:40.500","Turkey Iraq Water","analyze","Intermediary","Discourse Management","B:Confirms",14,"Yeah","4"
"369","00:01:41.320","00:01:42.880","Turkey Iraq Water","analyze","Seeker","Discourse Management","A:Confirms",15,"OK","4"
"370","00:01:51.920","00:01:53.980","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Initial information request",1,"Rome water supply","4"
"371","00:02:05.020","00:02:15.960","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:SERP Card",2,"Uhm yeah uhm it pops up like, it talks about the aqueduct and stuff and yeah pretty much more based on its history","4"
"372","00:02:17.027","00:02:45.480","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within SERP",3,"OK uhm does it talk about uhm how that water source or supply is like a river? Supplies of fresh water and stuff [long pause] like uhm Paris has the Seine river and London has his uhm the Thames river uhm but how about Rome","4"
"373","00:02:47.640","00:02:53.300","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Scanning document with modification",4,"Uhm it gives more of the history, its, how it was built and stuff","4"
"374","00:02:53.460","00:03:02.900","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within document",5,"But like does it at least talk about what kind of... uhm like where Rome gets its water supply?","4"
"375","00:03:08.000","00:03:09.760","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Within-Document search result",6,"Not quite","4"
"376","00:03:16.020","00:03:20.520","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request",7,"Maybe can you try search Rome river trading?","4"
"377","00:03:24.280","00:03:34.160","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation + Search Assistance","B:SERP without modification + Asking about usefulness",8,"Oh wait there is one article yeah that talks about it, it comes from like four sources, four different sources, does that help?","4"
"378","00:03:34.400","00:03:37.520","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within document",9,"Uhm, OK what does the articles talk about generally?","4"
"379","00:03:49.240","00:03:53.720","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Within-Document search result",10,"Pretty much how it was built and to avoid certain pressures","4"
"380","00:03:55.400","00:04:02.320","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within document",11,"Does it talk about uhm like trading and uhm commerce for fresh water supply?","4"
"381","00:04:02.360","00:04:07.400","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Within-Document search result",12,"Uhm yeah it talks about like how or to bring water and stuff","4"
"382","00:04:07.400","00:04:14.500","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within document",13,"Does it mention uhm like what that water supply like what the name of the river is or what the water supply is called?","4"
"383","00:04:16.905","00:04:24.040","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Within-Document search result",14,"Uhm like the pipes and stuff... because they have like certain names, for it all","4"
"384","00:04:26.391","00:04:33.108","What river runs through Rome, Italy?","remember","Seeker","Information Request","A:Information request within document",15,"So there's like is there a particular river that it get there or that, like uhm dam?","4"
"385","00:04:43.480","00:04:44.920","What river runs through Rome, Italy?","remember","Intermediary","Results Presentation","B:Within-Document search result",16,"It just says like it was carried into like certain like reservoirs and which ran into like streets and stuff","4"
"386","00:04:57.480","00:05:01.527","Marine Vegetation","understand","Seeker","Information Request","A:Initial information request",1,"Health benefits of marine vegetation","4"
"387","00:05:11.148","00:05:12.121","Marine Vegetation","understand","Intermediary","Discourse Management","B:Confirms",2,"Uhm yeah","4"
"388","00:05:12.540","00:05:15.364","Marine Vegetation","understand","Seeker","Visibility Of System Status","A:Results?",3,"What kind of results come up?","4"
"389","00:05:15.500","00:05:27.840","Marine Vegetation","understand","Intermediary","Results Presentation","B:SERP with modification",4,"It just says a lot of comparing and uhm like there are some articles that start to talk about like uhm sort of plants and stuff","4"
"390","00:05:29.202","00:05:38.621","Marine Vegetation","understand","Seeker","Information Request","A:Information request within SERP",5,"Uhm do some articles mention the use of marine vegetation as a drug like in medicine","4"
"391","00:05:41.400","00:05:45.148","Marine Vegetation","understand","Intermediary","Results Presentation","B:Within SERP search result",6,"They yeah they use it particularly for health benefits","4"
"392","00:05:45.326","00:05:45.623","Marine Vegetation","understand","Seeker","Discourse Management","A:Confirms",7,"OK","4"
"393","00:05:45.921","00:05:46.245","Marine Vegetation","understand","Intermediary","Discourse Management","B:Confirms",8,"Yeah","4"
"394","00:05:49.148","00:05:56.202","Marine Vegetation","understand","Seeker","Information Request","A:Information request within SERP",9,"Do they state the positive uses of uhm marine vegetation?","4"
"395","00:06:08.760","00:06:10.680","Marine Vegetation","understand","Intermediary","Results Presentation","B:Within SERP search result",10,"Uhm yeah they do","4"
"396","00:00:07.130","00:00:13.460","Outsource job India","understand","Seeker","Information Request","A:Initial information request",1,"Search for... US unemployment plus outsourcing","5"
"397","00:01:00.840","00:01:13.100","Outsource job India","understand","Intermediary","Information Request","B:Query refinement offer",2,"So you would like to ask about the US unemployment rate or range or number or","5"
"398","00:01:14.540","00:01:30.260","Outsource job India","understand","Seeker","Information Request","A:Intent clarification",3,"Uhm... well uhm not the rate or anything like that uhm it's just the concept of unemployment unemployed people","5"
"399","00:01:30.480","00:01:32.400","Outsource job India","understand","Intermediary","Information Request","B:Definition clarification",4,"And what is outsourcing?","5"
"400","00:01:32.960","00:01:56.980","Outsource job India","understand","Seeker","Information Request","A:Definition explanation",5,"Outsourcing is where... uhm you're sending jobs offshore or... uhm you're subcontracting jobs out to like a third party instead of hiring employees... to send out","5"
"401","00:01:57.160","00:02:06.560","Outsource job India","understand","Intermediary","Information Request","B:Query refinement offer",6,"You like to find the relation between unemployment and outsourcing like causality effect","5"
"402","00:02:07.540","00:02:29.400","Outsource job India","understand","Seeker","Information Request + Information Request","A:Intent clarification + Information request within SERP",7,"Uhm not necessarily as strong as a causa uhm a causality but... can you search uhm is there anything in your search results that indicate uhm some content about outsourcing jobs specifically to India","5"
