Start.time,Stop.time,Query,Query.complexity,Role,Action,Transcript,Query.counter,File.name
12:12.2,12:15.0,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document with modification,It doesn't say anything about the exact date,10,4 - 9 June - 2.30pm - Synchronized Clip.txt
12:15.7,12:20.1,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,So maybe it said when did it say uhm so two thousand BC or something?,11,4 - 9 June - 2.30pm - Synchronized Clip.txt
12:20.1,12:22.0,Where does cinnamon come from?,remember,B_Receiver,B:Confirms,Yes two thousand BC,12,4 - 9 June - 2.30pm - Synchronized Clip.txt
12:22.0,12:30.7,Where does cinnamon come from?,remember,A_User,A:Information request,So maybe look that up with cinnamon because if it's been used for that long it was probably found around that time so see if we could find anything,13,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:01.4,13:06.1,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document without modification,So they initially used it as perfume in Egypt,14,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:08.0,13:09.8,Where does cinnamon come from?,remember,A_User,A:Is there more information,"OK, is that all that it says?",15,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:09.9,13:11.7,Where does cinnamon come from?,remember,B_Receiver,B:Feedback on what is happening,"Nah, I'll just check that",16,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:12.2,13:12.7,Where does cinnamon come from?,remember,A_User,A:Confirms,Yeah,17,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:33.4,13:38.5,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification,So I have an article that says the truth about where cinnamon comes from,18,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:40.9,13:42.3,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,"Where what comes from, sorry",19,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:42.4,13:42.8,Where does cinnamon come from?,remember,B_Receiver,B:Confirms,Yeah,20,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:48.7,13:49.7,Where does cinnamon come from?,remember,A_User,A:Access source feedback-request,Have you clicked on it?,21,4 - 9 June - 2.30pm - Synchronized Clip.txt
13:50.0,14:03.7,Where does cinnamon come from?,remember,B_Receiver,B:Within-Document search result,Yeah yeah [long pause] But it doesn't give any information about the history,22,4 - 9 June - 2.30pm - Synchronized Clip.txt
14:03.8,14:06.4,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,So did you say it was used in Egypt before?,23,4 - 9 June - 2.30pm - Synchronized Clip.txt
14:06.7,14:07.1,Where does cinnamon come from?,remember,B_Receiver,B:Confirms,Yeah,24,4 - 9 June - 2.30pm - Synchronized Clip.txt
14:07.6,14:20.2,Where does cinnamon come from?,remember,A_User,A:Information request,Can you type in cinnamon and Egypt... do capital and see to make sure we get uhm Egypt and potentially it might have originated there,25,4 - 9 June - 2.30pm - Synchronized Clip.txt
15:04.3,15:14.8,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document without modification,There is one more article which says two thousand and eight hundred BC where it can be found referenced as kwai in Chinese writings,26,4 - 9 June - 2.30pm - Synchronized Clip.txt
15:17.4,15:22.9,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,"So that was found in China, is that what you're saying or",27,4 - 9 June - 2.30pm - Synchronized Clip.txt
15:23.2,15:32.0,Where does cinnamon come from?,remember,B_Receiver,B:Repeats,It was referenced by the Chinese as kwai in Chinese writings,28,4 - 9 June - 2.30pm - Synchronized Clip.txt
15:33.1,15:36.2,Where does cinnamon come from?,remember,A_User,A:Information request,OK so maybe type in China and cinnamon then and see what comes up,29,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:17.9,16:20.4,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document with modification,Yeah it mainly says Egyptians so,30,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:20.6,16:21.4,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,Egyptians?,31,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:21.6,16:28.6,Where does cinnamon come from?,remember,B_Receiver,B:Repeats + Multi-document summary,"Egyptians, yeah I have two or three documents it says Egyptians two thousand BC",32,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:28.9,16:32.6,Where does cinnamon come from?,remember,A_User,A:Information request within document,That's when it was first used or first found?,33,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:33.1,16:34.7,Where does cinnamon come from?,remember,B_Receiver,B:Within-Document search result,Used,34,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:37.1,16:43.6,Where does cinnamon come from?,remember,A_User,"A:Requests ""enough information"" judgement",Uhm do you think that's enough to get an idea of where it actually came from or do you think we should keep going?,35,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:44.3,16:45.8,Where does cinnamon come from?,remember,B_Receiver,B:Suggestion to search more,I think we should keep going,36,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:45.8,16:46.7,Where does cinnamon come from?,remember,A_User,A:Confirms,Yeah OK,37,4 - 9 June - 2.30pm - Synchronized Clip.txt
16:53.2,17:02.5,Where does cinnamon come from?,remember,B_Receiver,B:Query refinement offer,"What sort of documents is it, when was it first used and not when it was first found? The actual place where it was first found",38,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:03.0,17:09.9,Where does cinnamon come from?,remember,A_User,A:Information request,Maybe type in again origin so origins and cinnamon and then and uhm Egypt,39,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:18.8,17:22.1,Where does cinnamon come from?,remember,B_Receiver,B:Repeats the query back,So I have typed in cinnamon origin and Egypt,40,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:22.5,17:24.5,Where does cinnamon come from?,remember,A_User,A:Results?,Have you found anything,41,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:26.3,17:28.5,Where does cinnamon come from?,remember,B_Receiver,B:Feedback on what is happening,"No, I still keep on getting the same",42,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:29.5,17:30.0,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,Same thing,43,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:30.2,17:31.1,Where does cinnamon come from?,remember,B_Receiver,B:Confirms,Yeah same thing,44,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:32.3,17:34.7,Where does cinnamon come from?,remember,A_User,A:Information request within SERP,Is the word origin anywhere or no?,45,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:35.0,17:35.9,Where does cinnamon come from?,remember,B_Receiver,B:Within SERP search result,No,46,4 - 9 June - 2.30pm - Synchronized Clip.txt
17:46.3,17:54.1,Where does cinnamon come from?,remember,A_User,A:Information request,Maybe type in cinnamon discovered then and and discover or discovered do the asterix at the word discover,47,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:26.1,18:31.0,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification,So I found one document which says where does cinnamon come from,48,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:31.1,18:35.2,Where does cinnamon come from?,remember,A_User,A:Access source,"OK, definitely click on that, that could be useful",49,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:36.7,18:42.4,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document without modification,Yeah it's [inaudible segment] cinnamon which is native to Sri Lanka it says,50,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:43.4,18:44.6,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,Native to?,51,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:44.8,18:53.3,Where does cinnamon come from?,remember,B_Receiver,B:Repeats + Scanning document without modification,Sri Lanka from the bark of the cinnamon tree... that's not the biological name for the cinnamon,52,4 - 9 June - 2.30pm - Synchronized Clip.txt
18:53.7,18:58.8,Where does cinnamon come from?,remember,A_User,A:Information request,OK maybe just to confirm that type in cinnamon Sri Lanka and see what comes up,53,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:00.2,19:26.9,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document without modification + Interpretation,The history of valuable cinnamon. The first mention of cinnamon is in Chinese documents dating from two thousand eight hundred BC. The ancient Egyptians logged cinnamon as a spice used in the embalming process... so it was first Chinese and then the Egyptians used it for some purpose,54,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:29.0,19:31.7,Where does cinnamon come from?,remember,A_User,A:Information request within document,That doesn't especially mean that it came from there does it,55,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:31.8,19:32.3,Where does cinnamon come from?,remember,B_Receiver,B:Confirms,Yeah,56,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:32.4,19:32.7,Where does cinnamon come from?,remember,A_User,A:Confirms,Yeah,57,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:35.5,19:44.0,Where does cinnamon come from?,remember,B_Receiver,B:Scanning document with modification,It mainly says about the history how cinnamon was used... but it... I don't see anything where it originated,58,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:44.7,19:58.5,Where does cinnamon come from?,remember,A_User,A:Information request,Maybe maybe just type in cinnamon uhm... into the search bar and just look at something really general because usually general things might,59,4 - 9 June - 2.30pm - Synchronized Clip.txt
19:59.0,20:02.1,Where does cinnamon come from?,remember,B_Receiver,B:Google query expansion suggestion,I have cinnamon origin,60,4 - 9 June - 2.30pm - Synchronized Clip.txt
20:04.1,20:05.4,Where does cinnamon come from?,remember,A_User,A:Asks to repeat,What do you have sorry?,61,4 - 9 June - 2.30pm - Synchronized Clip.txt
20:11.4,20:12.7,Where does cinnamon come from?,remember,B_Receiver,B:SERP Card,So I have how the origin is Greek and then old French,62,4 - 9 June - 2.30pm - Synchronized Clip.txt
20:18.5,21:00.7,per capita alcohol consumption,analyze,A_User,A:Initial information request,"OK so... uhm in general I sort of want to try and find out the average consumption of alcohol uhm by by the country state for local level, so maybe just start of with type in uhm alcohol consumption by country... tell me if anything relates to statistics uhm about alcohol consumption uhm between countries",1,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:03.0,21:08.8,per capita alcohol consumption,analyze,B_Receiver,B:SERP without modification,So I have one document about global consumption of alcohol by the World Bank,2,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:10.8,21:13.4,per capita alcohol consumption,analyze,A_User,A:Access source,Yeah do you want to click into it and see what it says,3,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:13.5,21:24.6,per capita alcohol consumption,analyze,B_Receiver,B:SERP without modification,One sec [long pause] so I have list of countries by alcohol consumption per capita,4,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:24.9,21:26.5,per capita alcohol consumption,analyze,A_User,A:Performance feedback,Yeah yeah that's perfect,5,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:27.0,21:45.3,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,This is by Wikipedia [long pause] so this is uhm by twenty ten World Health Organisation... the data uhm the first one is Belarus the first country,6,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:45.6,21:47.5,per capita alcohol consumption,analyze,A_User,A:Information request within document,How much do they consume?,7,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:50.6,21:54.7,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,It's fourteen point four litres per capita,8,4 - 9 June - 2.30pm - Synchronized Clip.txt
21:54.7,21:55.7,per capita alcohol consumption,analyze,A_User,A:Confirms,OK,9,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:03.6,22:06.3,per capita alcohol consumption,analyze,B_Receiver,B:Requests more details about information request,Are you looking for something specific or,10,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:10.7,22:16.9,per capita alcohol consumption,analyze,A_User,A:Intent clarification,Just sort of the yeah the alcohol consumption per countries per capita,11,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:17.3,22:17.6,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,OK,12,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:17.7,22:19.2,per capita alcohol consumption,analyze,A_User,A:Info about document,What website did you say we were on?,13,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:20.3,22:22.1,per capita alcohol consumption,analyze,B_Receiver,B:Source information,Uhm... this is by Wikipedia,14,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:22.2,22:23.1,per capita alcohol consumption,analyze,A_User,A:Asks to repeat,Wikipedia?,15,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:23.2,22:23.4,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,Yeah,16,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:23.9,22:29.9,per capita alcohol consumption,analyze,A_User,A:Asks to repeat,"OK uhm... can you maybe go on to, did you say that the statistics were from the World Health Organisation or something?",17,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:30.1,22:30.7,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,Yeah,18,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:30.9,22:37.5,per capita alcohol consumption,analyze,A_User,A:Information request within document,Is there a link somewhere to just verify because sometimes Wikipedia isn't always that reliable,19,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:37.6,22:39.3,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,OK let me check,20,4 - 9 June - 2.30pm - Synchronized Clip.txt
22:41.2,22:42.8,per capita alcohol consumption,analyze,A_User,A:Information request within document,Like is there a footnote or anything,21,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:20.8,23:29.8,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,"So I have one more website the world atlas, it says who drinks the most alcohol consumption by country",22,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:31.0,23:32.1,per capita alcohol consumption,analyze,A_User,A:Access source feedback-request,Have you clicked on it?,23,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:32.2,23:35.4,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,Yeah... and it says Estonia,24,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:36.2,23:38.5,per capita alcohol consumption,analyze,A_User,A:Interpretation,So it is different to Wikipedia,25,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:38.6,23:49.4,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,And that's the popular drink and [long pause] yeah it says Estonia's fourteen point nine seven,26,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:49.4,23:50.6,per capita alcohol consumption,analyze,A_User,A:Information request within document,Is this per capita?,27,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:50.6,23:52.2,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,Yeah per capita,28,4 - 9 June - 2.30pm - Synchronized Clip.txt
23:52.3,23:56.9,per capita alcohol consumption,analyze,A_User,A:Information request within document,When where these uhm statistics found or when were they released what date?,29,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:07.3,24:10.9,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,So this was published January twenty-fifth twenty sixteen,30,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:11.1,24:16.6,per capita alcohol consumption,analyze,A_User,A:Performance feedback + Within-document command,Yeah so that is good then go go through that... so you got Estonia then,31,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:17.1,24:19.8,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,Yeah and then the second one is Belarus,32,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:21.0,24:23.3,per capita alcohol consumption,analyze,A_User,A:Information request within document,Is Australia anywhere on the list?,33,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:24.7,24:26.6,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,Uhm we are in the top ten,34,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:27.2,24:28.6,per capita alcohol consumption,analyze,A_User,A:Information request within document,So is there only top ten?,35,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:29.1,24:31.0,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,No Australia is twenty-second,36,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:31.4,24:32.2,per capita alcohol consumption,analyze,A_User,A:Asks to repeat,Twenty-second,37,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:32.3,24:32.6,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,Yeah,38,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:32.7,24:34.2,per capita alcohol consumption,analyze,A_User,A:Information request within document,What's that per capita?,39,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:34.5,24:35.7,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,Nine point eight seven,40,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:37.0,24:39.5,per capita alcohol consumption,analyze,A_User,A:Information request within document,How is that compared to the United States?,41,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:45.9,24:50.7,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,No uhm it it's top twenty-five and and there's no US in the top rank,42,4 - 9 June - 2.30pm - Synchronized Clip.txt
24:55.6,25:04.3,per capita alcohol consumption,analyze,A_User,A:Information request within document,Is there any other sort of Western countries on the top twenty-five similar to Australia for example Britain or New Zealand or something?,43,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:04.5,25:15.6,per capita alcohol consumption,analyze,B_Receiver,B:Within-Document search result,"We have Ireland, France... Ireland ranks seventh, France is eighth and Germany twelfth",44,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:18.3,25:28.4,per capita alcohol consumption,analyze,A_User,A:Information request,Yes so maybe maybe keep that up that yeah it's good you found that uhm and then type in alcohol per capita Australian states,45,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:36.7,25:38.7,per capita alcohol consumption,analyze,B_Receiver,B:Query refinement offer,"So this is it statewide, by state?",46,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:39.4,25:42.4,per capita alcohol consumption,analyze,A_User,A:Asks to repeat,Pardon by state or state wide you mean,47,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:43.5,25:44.3,per capita alcohol consumption,analyze,B_Receiver,B:Query refinement offer,Australia,48,4 - 9 June - 2.30pm - Synchronized Clip.txt
25:56.6,26:05.8,per capita alcohol consumption,analyze,A_User,A:Intent clarification,So pretty much what we're looking for is to compare alcohol consumption in the states in the Australian states... so Victoria compared to New South Wales,49,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:05.8,26:07.7,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,so the Australian Bureau of Statistics,50,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:08.6,26:16.0,per capita alcohol consumption,analyze,A_User,A:Performance feedback + Information request within document,"Yeah that could be... that could be good, what's the article or what's the statistics about?",51,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:16.1,26:25.6,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document without modification,So in summary uhm... we have one eighty-three point seven million of pure alcohol in twenty thirteen to fourteen,52,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:33.7,26:35.0,per capita alcohol consumption,analyze,A_User,A:Is there more information,Is that all what it says or,53,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:35.2,26:40.9,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document with modification + Interpretation,Uhm it says based on the drinks and the year but it doesn't say anything about the state,54,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:42.1,26:51.9,per capita alcohol consumption,analyze,A_User,A:Leave document + Asks to repeat,Maybe you can get out of it then [long pause] so what's the search term that you typed in?,55,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:53.6,26:57.3,per capita alcohol consumption,analyze,B_Receiver,B:Repeats the query back,It's alcohol per capita by state Australia,56,4 - 9 June - 2.30pm - Synchronized Clip.txt
26:58.0,27:03.0,per capita alcohol consumption,analyze,A_User,A:Is there more information,OK uhm is there any other useful things to view?,57,4 - 9 June - 2.30pm - Synchronized Clip.txt
27:08.2,27:11.8,per capita alcohol consumption,analyze,B_Receiver,B:Feedback on what is happening,Let me change the... search to,58,4 - 9 June - 2.30pm - Synchronized Clip.txt
27:15.7,27:16.7,per capita alcohol consumption,analyze,A_User,A:Asks to repeat,What are you changing it to?,59,4 - 9 June - 2.30pm - Synchronized Clip.txt
27:17.8,27:19.7,per capita alcohol consumption,analyze,B_Receiver,B:Repeats the query back,I am changing it to Australian states,60,4 - 9 June - 2.30pm - Synchronized Clip.txt
27:21.8,29:00.8,per capita alcohol consumption,analyze,A_User,A:Query embellishment + Results?,Maybe you can get rid of per capita because that could be problematic... alcohol consumption by Australian citizens [long pause] have you found anything yet?,61,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:01.0,29:01.3,per capita alcohol consumption,analyze,B_Receiver,B:Confirms,Yeah,62,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:05.0,29:06.3,per capita alcohol consumption,analyze,A_User,A:Results?,What what exactly?,63,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:16.6,29:19.3,per capita alcohol consumption,analyze,B_Receiver,B:Feedback on what is happening,I haven't found anything based on the state,64,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:23.3,29:26.8,per capita alcohol consumption,analyze,A_User,A:Results?,Have you found anything else that could be useful?,65,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:31.9,29:37.3,per capita alcohol consumption,analyze,B_Receiver,B:Scanning document with modification,I found the generalise statistics but not based on the states of Australia,66,4 - 9 June - 2.30pm - Synchronized Clip.txt
29:39.0,30:10.7,per capita alcohol consumption,analyze,A_User,A:Access source,Maybe have a look at them anyway just to get a better idea of Australia [long pause] if you're not having any luck then type in something like uhm,67,4 - 9 June - 2.30pm - Synchronized Clip.txt
30:11.1,30:20.4,per capita alcohol consumption,analyze,B_Receiver,B:Repeats the query back,I am trying statistics of alcohol consumption... in Australia,68,4 - 9 June - 2.30pm - Synchronized Clip.txt
30:29.5,30:31.6,per capita alcohol consumption,analyze,A_User,A:Query embellishment,Yeah you can even type or just Victoria because if it talks about Victoria it might talk about other states as well,69,4 - 9 June - 2.30pm - Synchronized Clip.txt
00:22.6,00:24.6,Turkey Iraq Water,analyze,A_User,A:Initial information request,Turkish river control,1,5 - 10 June - 9.30am - Synchronized Clip.txt
00:30.7,00:31.7,Turkey Iraq Water,analyze,B_Receiver,B:Confirms,Yeah,2,5 - 10 June - 9.30am - Synchronized Clip.txt
00:33.5,00:34.6,Turkey Iraq Water,analyze,A_User,A:Results?,What results came up?,3,5 - 10 June - 9.30am - Synchronized Clip.txt
00:35.2,00:36.5,Turkey Iraq Water,analyze,B_Receiver,B:Asks to repeat,What you said Turkish,4,5 - 10 June - 9.30am - Synchronized Clip.txt
00:36.5,00:37.2,Turkey Iraq Water,analyze,A_User,A:Query repeat,Turkish river control,5,5 - 10 June - 9.30am - Synchronized Clip.txt
00:37.7,00:50.4,Turkey Iraq Water,analyze,B_Receiver,B:SERP with modification,Yeah OK so it starts to talk about like is it just a whole news articles and it looks about water wars and uhm in Syria and Iraq and yeah,6,5 - 10 June - 9.30am - Synchronized Clip.txt
00:50.8,00:56.3,Turkey Iraq Water,analyze,A_User,A:Access source,Uhm OK uhm can you click on the article regarding Iraq,7,5 - 10 June - 9.30am - Synchronized Clip.txt
00:57.8,01:03.6,Turkey Iraq Water,analyze,B_Receiver,B:Checks navigational command,"Uhm there's a few, there's one, do you want me to click on the one from foreign affairs",8,5 - 10 June - 9.30am - Synchronized Clip.txt
01:04.0,01:13.7,Turkey Iraq Water,analyze,A_User,A:Confirms + Information Request within SERP,Yeah [long pause] yeah are there any that regard the Iraqi water resources?,9,5 - 10 June - 9.30am - Synchronized Clip.txt
01:15.7,01:18.0,Turkey Iraq Water,analyze,B_Receiver,B:SERP without modification,Uhm there's one on water shortages,10,5 - 10 June - 9.30am - Synchronized Clip.txt
01:18.1,01:18.5,Turkey Iraq Water,analyze,A_User,A:Confirms,OK,11,5 - 10 June - 9.30am - Synchronized Clip.txt
01:18.6,01:20.3,Turkey Iraq Water,analyze,B_Receiver,B:Checks navigational command,Yeah so may go into that instead,12,5 - 10 June - 9.30am - Synchronized Clip.txt
01:20.4,01:39.5,Turkey Iraq Water,analyze,A_User,A:Confirms + Information request within document,Yeah [long pause] so does it talk about how uhm... some Turkish river control produc uhm projects affected uhm Iraq,13,5 - 10 June - 9.30am - Synchronized Clip.txt
01:39.7,01:40.5,Turkey Iraq Water,analyze,B_Receiver,B:Confirms,Yeah,14,5 - 10 June - 9.30am - Synchronized Clip.txt
01:41.3,01:42.9,Turkey Iraq Water,analyze,A_User,A:Confirms,OK,15,5 - 10 June - 9.30am - Synchronized Clip.txt
01:51.9,01:54.0,"What river runs through Rome, Italy?",remember,A_User,A:Initial information request,Rome water supply,1,5 - 10 June - 9.30am - Synchronized Clip.txt
02:05.0,02:16.0,"What river runs through Rome, Italy?",remember,B_Receiver,B:SERP Card,"Uhm yeah uhm it pops up like, it talks about the aqueduct and stuff and yeah pretty much more based on its history",2,5 - 10 June - 9.30am - Synchronized Clip.txt
02:17.0,02:45.5,"What river runs through Rome, Italy?",remember,A_User,A:Information request within SERP,OK uhm does it talk about uhm how that water source or supply is like a river? Supplies of fresh water and stuff [long pause] like uhm Paris has the Seine river and London has his uhm the Thames river uhm but how about Rome,3,5 - 10 June - 9.30am - Synchronized Clip.txt
02:47.6,02:53.3,"What river runs through Rome, Italy?",remember,B_Receiver,B:Scanning document with modification,"Uhm it gives more of the history, its, how it was built and stuff",4,5 - 10 June - 9.30am - Synchronized Clip.txt
02:53.5,03:02.9,"What river runs through Rome, Italy?",remember,A_User,A:Information request within document,But like does it at least talk about what kind of... uhm like where Rome gets its water supply?,5,5 - 10 June - 9.30am - Synchronized Clip.txt
03:08.0,03:09.8,"What river runs through Rome, Italy?",remember,B_Receiver,B:Within-Document search result,Not quite,6,5 - 10 June - 9.30am - Synchronized Clip.txt
03:16.0,03:20.5,"What river runs through Rome, Italy?",remember,A_User,A:Information request,Maybe can you try search Rome river trading?,7,5 - 10 June - 9.30am - Synchronized Clip.txt
03:24.3,03:34.2,"What river runs through Rome, Italy?",remember,B_Receiver,B:SERP without modification + Asking about usefulness,"Oh wait there is one article yeah that talks about it, it comes from like four sources, four different sources, does that help?",8,5 - 10 June - 9.30am - Synchronized Clip.txt
03:34.4,03:37.5,"What river runs through Rome, Italy?",remember,A_User,A:Information request within document,"Uhm, OK what does the articles talk about generally?",9,5 - 10 June - 9.30am - Synchronized Clip.txt
03:49.2,03:53.7,"What river runs through Rome, Italy?",remember,B_Receiver,B:Within-Document search result,Pretty much how it was built and to avoid certain pressures,10,5 - 10 June - 9.30am - Synchronized Clip.txt
03:55.4,04:02.3,"What river runs through Rome, Italy?",remember,A_User,A:Information request within document,Does it talk about uhm like trading and uhm commerce for fresh water supply?,11,5 - 10 June - 9.30am - Synchronized Clip.txt
04:02.4,04:07.4,"What river runs through Rome, Italy?",remember,B_Receiver,B:Within-Document search result,Uhm yeah it talks about like how or to bring water and stuff,12,5 - 10 June - 9.30am - Synchronized Clip.txt
04:07.4,04:14.5,"What river runs through Rome, Italy?",remember,A_User,A:Information request within document,Does it mention uhm like what that water supply like what the name of the river is or what the water supply is called?,13,5 - 10 June - 9.30am - Synchronized Clip.txt
04:16.9,04:24.0,"What river runs through Rome, Italy?",remember,B_Receiver,B:Within-Document search result,"Uhm like the pipes and stuff... because they have like certain names, for it all",14,5 - 10 June - 9.30am - Synchronized Clip.txt
04:26.4,04:33.1,"What river runs through Rome, Italy?",remember,A_User,A:Information request within document,"So there's like is there a particular river that it get there or that, like uhm dam?",15,5 - 10 June - 9.30am - Synchronized Clip.txt
04:43.5,04:44.9,"What river runs through Rome, Italy?",remember,B_Receiver,B:Within-Document search result,It just says like it was carried into like certain like reservoirs and which ran into like streets and stuff,16,5 - 10 June - 9.30am - Synchronized Clip.txt
